,Environment,Cost,Steps,RolloutDepth,ExplorationCoeff
0,2_36,0.05,10,0,100.0
1,2_36,0.05,100,3,100.0
2,2_36,0.05,1000,3,1.0
3,2_36,0.05,5000,0,5.0
4,2_36,1.0,10,0,100.0
5,2_36,1.0,100,0,10.0
6,2_36,1.0,1000,0,100.0
7,2_36,1.0,5000,0,5.0
8,3_54,0.05,10,3,100.0
9,3_54,0.05,100,3,100.0
10,3_54,0.05,1000,3,5.0
11,3_54,0.05,5000,0,50.0
12,3_54,1.0,10,3,100.0
13,3_54,1.0,100,0,100.0
14,3_54,1.0,1000,0,10.0
15,3_54,1.0,5000,0,100.0
16,4_72,0.05,10,3,100.0
17,4_72,0.05,100,3,10.0
18,4_72,0.05,1000,3,10.0
19,4_72,0.05,5000,3,5.0
20,4_72,1.0,10,3,100.0
21,4_72,1.0,100,0,5.0
22,4_72,1.0,1000,0,50.0
23,4_72,1.0,5000,0,100.0
24,5_90,0.05,10,0,100.0
25,5_90,0.05,100,3,5.0
26,5_90,0.05,1000,3,100.0
27,5_90,0.05,5000,3,5.0
28,5_90,1.0,10,0,100.0
29,5_90,1.0,100,0,50.0
30,5_90,1.0,1000,0,100.0
31,5_90,1.0,5000,0,50.0
